EQUIPO,C L,ENT,DUE,D,DA,PC,PCC,PLC,PH,GPT,GPTFA,GPTDA,GCPI,GCPD,CG,GABP
ATHLETIC CLUB,82,0,1586,1173,413,6613,4954,396,0,0.17,0.01,0.16,0.04,0.10,0.04,0.00
ATLÉTICO DE MADRID,74,0,1316,949,367,7813,6213,370,0,0.19,0.02,0.17,0.08,0.10,0.01,0.01
CA OSASUNA,60,0,1507,1050,457,4905,3271,350,0,0.18,0.02,0.16,0.08,0.04,0.04,0.00
CD LEGANÉS,42,0,1557,1092,465,5521,3858,338,0,0.16,0.04,0.11,0.07,0.07,0.02,0.00
DEPORTIVO ALAVÉS,72,0,1583,1084,499,4655,2984,376,0,0.13,0.03,0.10,0.05,0.05,0.03,0.00
FC BARCELONA,92,0,1397,1117,280,9462,7909,399,0,0.24,0.04,0.20,0.11,0.12,0.01,0.01
GETAFE CF,64,0,1879,1211,668,4396,2724,358,0,0.08,0.01,0.08,0.01,0.05,0.03,0.01
GIRONA FC,72,0,1325,1071,254,8316,7006,351,0,0.20,0.03,0.17,0.08,0.08,0.03,0.00
RC CELTA,51,0,1314,1014,300,8013,6536,325,0,0.18,0.04,0.14,0.05,0.09,0.02,0.01
RCD ESPANYOL DE BARCELONA,59,0,1289,957,332,4461,3150,294,0,0.16,0.05,0.11,0.04,0.09,0.02,0.01
RCD MALLORCA,72,0,1599,1063,536,6014,4340,452,0,0.12,0.00,0.12,0.04,0.04,0.03,0.00
RAYO VALLECANO,75,0,1411,1025,386,5435,3941,316,0,0.11,0.02,0.09,0.04,0.05,0.00,0.00
REAL BETIS,70,0,1514,1143,371,7016,5495,330,0,0.10,0.02,0.08,0.04,0.04,0.01,0.00
REAL MADRID,85,0,1337,1100,237,9014,7625,425,0,0.19,0.04,0.15,0.04,0.15,0.01,0.01
REAL SOCIEDAD,92,0,1548,1085,463,6946,5392,368,0,0.10,0.01,0.09,0.06,0.02,0.01,0.00
REAL VALLADOLID CF,59,0,1516,1028,488,5221,3794,362,0,0.10,0.02,0.08,0.02,0.07,0.01,0.00
SEVILLA FC,82,0,1528,1100,428,6827,5284,282,0,0.10,0.01,0.09,0.04,0.04,0.00,0.00
UD LAS PALMAS,61,0,1416,1027,389,7072,5516,317,0,0.16,0.02,0.13,0.03,0.09,0.02,0.01
VALENCIA CF,72,0,1250,895,355,5046,3629,293,0,0.15,0.02,0.13,0.07,0.05,0.04,0.00
VILLARREAL CF,63,0,1268,936,332,5955,4658,339,0,0.17,0.01,0.17,0.07,0.05,0.04,0.00
