,NOMBRE,EQUIPO,T,DAP,ASI,RE,RF,G,GDDA,GFDA,GCPI,GCPD,GDP,CG,GBP,GPP
,ABDE EZZALZOULI,REAL BETIS,31,13,0,32,26,1,1,0,0.00,0.03,0,0.00,0,0
,ABDE REBBACH,DEPORTIVO ALAVÉS,3,1,0,3,9,0,0,0,0.00,0.00,0,0.00,0,0
,ABDEL ABQAR,DEPORTIVO ALAVÉS,3,1,1,1,1,0,0,0,0.00,0.00,0,0.00,0,0
,ABDOULAYE KEITA,GETAFE CF,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ABDUL MUMIN,RAYO VALLECANO,4,1,1,1,2,1,1,0,0.25,0.00,0,0.00,0,0
,ABDÓN PRATS,RCD MALLORCA,8,5,0,0,0,2,2,0,0.13,0.00,1,0.13,0,0
,ABEL BRETONES,CA OSASUNA,4,3,0,5,6,2,1,1,0.50,0.00,0,0.00,0,0
,ABEL RUIZ,GIRONA FC,10,5,0,5,8,2,2,0,0.00,0.20,1,0.00,0,0
,ABOUBACAR BASSINGA,CD MIRANDÉS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ADAMA BOIRO,ATHLETIC CLUB,0,0,0,3,4,0,0,0,0.00,0.00,0,0.00,0,0
,ADNAN JANUZAJ,UD LAS PALMAS,3,1,1,4,10,0,0,0,0.00,0.00,0,0.00,0,0
,ADRI EMBARBA,RAYO VALLECANO,11,3,1,8,11,0,0,0,0.00,0.00,0,0.00,0,0
,ADRIÀ ALTI,CD LEGANÉS,2,0,0,6,6,0,0,0,0.00,0.00,0,0.00,0,0
,ADRIÀ PEDROSA,SEVILLA FC,4,1,1,7,9,0,0,0,0.00,0.00,0,0.00,0,0
,ADRIÁN SAN MIGUEL DEL CASTILLO,REAL BETIS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ADRIÁN HERNÁNDEZ HERNÁNDEZ,DEPORTIVO ALAVÉS,2,1,0,1,0,0,0,0,0.00,0.00,0,0.00,0,0
,ADRIÁN RODRÍGUEZ,DEPORTIVO ALAVÉS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,MALCOM ABDULAI ARES DJALÓ,REAL ZARAGOZA,0,0,0,0,1,0,0,0,0.00,0.00,0,0.00,0,0
,AIHEN MUÑOZ,REAL SOCIEDAD,0,0,0,2,2,0,0,0,0.00,0.00,0,0.00,0,0
,AIMAR OROZ,CA OSASUNA,12,6,0,15,11,1,1,0,0.08,0.00,0,0.00,0,0
,ÁLVARO CORTÉS,FC BARCELONA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ÁLVARO DJALÓ DIAS FERNANDES,ATHLETIC CLUB,9,3,0,8,10,1,1,0,0.00,0.00,0,0.11,0,0
,ÁLVARO FERNÁNDEZ,SEVILLA FC,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ÁLVARO GARCÍA,RAYO VALLECANO,14,3,0,4,5,1,1,0,0.00,0.07,0,0.00,0,0
,ÁLVARO KILLANE,UD LAS PALMAS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ÁLVARO ODRIOZOLA,REAL SOCIEDAD,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ÁLVARO RODRÍGUEZ,GETAFE CF,6,3,0,4,4,1,1,0,0.17,0.00,0,0.00,0,0
,ÁLVARO TEJERO,RCD ESPANYOL DE BARCELONA,7,2,2,2,8,1,0,1,0.00,0.14,0,0.00,1,0
,ÁNGEL CORREA,ATLÉTICO DE MADRID,10,5,1,10,8,2,2,0,0.00,0.20,0,0.00,0,0
,ÁNGEL FORTUÑO,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ÁRON YAAKOBISHVILI,FC BARCELONA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ÉDER GABRIEL MILITÃO,REAL MADRID,7,3,1,5,3,1,1,0,0.00,0.14,0,0.00,0,0
,ÍÑIGO LEKUE,ATHLETIC CLUB,0,0,0,1,2,0,0,0,0.00,0.00,0,0.00,0,0
,ÍÑIGO RUÍZ DE GALARRETA,ATHLETIC CLUB,1,0,1,6,0,0,0,0,0.00,0.00,0,0.00,0,0
,ÓSCAR DE MARCOS,ATHLETIC CLUB,1,0,4,1,6,0,0,0,0.00,0.00,0,0.00,0,0
,ÓSCAR MINGUEZA,RC CELTA,10,3,5,12,13,2,1,1,0.00,0.20,0,0.00,1,0
,ÓSCAR RODRÍGUEZ,CD LEGANÉS,8,3,2,6,6,1,1,0,0.00,0.00,0,0.13,0,0
,ÓSCAR TREJO,RAYO VALLECANO,2,0,0,4,6,0,0,0,0.00,0.00,0,0.00,0,0
,ÓSCAR VALENTÍN,RAYO VALLECANO,2,1,0,3,1,0,0,0,0.00,0.00,0,0.00,0,0
,ØRJAN NYLAND,SEVILLA FC,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,WILLY KAMBWALA,VILLARREAL CF,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,WOJCIECH SZCZESNY,FC BARCELONA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,YANGEL HERRERA,GIRONA FC,13,5,1,7,3,2,2,0,0.00,0.00,0,0.15,0,0
,YAREK GASIOROWSKI,VALENCIA CF,1,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,JESÚS SANTIAGO PÉREZ,GETAFE CF,0,0,0,0,4,0,0,0,0.00,0.00,0,0.00,0,0
,YERAY ÁLVAREZ,ATHLETIC CLUB,3,1,0,2,2,0,0,0,0.00,0.00,0,0.00,0,0
,YEREMY PINO,VILLARREAL CF,4,0,3,8,5,0,0,0,0.00,0.00,0,0.00,0,0
,YOUSSOUF SABALY,REAL BETIS,2,0,0,7,7,0,0,0,0.00,0.00,0,0.00,0,0
,YURI BERCHICHE,ATHLETIC CLUB,5,3,0,4,3,0,0,0,0.00,0.00,0,0.00,0,0
,YVAN NEYOU,CD LEGANÉS,4,1,1,9,8,1,1,0,0.00,0.25,0,0.00,0,0
,YÁSER ASPRILLA,GIRONA FC,5,1,0,9,9,1,0,1,0.20,0.00,0,0.00,0,0
,ÁLEX BAENA,VILLARREAL CF,17,7,5,7,9,3,3,0,0.12,0.06,0,0.00,0,0
,ÁLEX GIL,,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ÁLEX MUÑOZ,UD LAS PALMAS,7,5,0,1,5,3,3,0,0.14,0.14,0,0.14,0,0
,ÁLEX REMIRO,REAL SOCIEDAD,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ÁLEX SOLA,GETAFE CF,8,2,1,19,31,0,0,0,0.00,0.00,0,0.00,0,0
,ÁLEX SUÁREZ,UD LAS PALMAS,1,1,0,0,0,0,0,0,0.00,0.00,0,0.00,0,1
,ÁLEX VALLE,,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ÁLVARO ACEVES,REAL VALLADOLID CF,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,ÁLVARO AGUADO,RCD ESPANYOL DE BARCELONA,4,0,0,3,1,0,0,0,0.00,0.00,0,0.00,0,0
,UNAI MARRERO,REAL SOCIEDAD,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,UNAI NÚÑEZ,ATHLETIC CLUB,1,0,0,1,0,0,0,0,0.00,0.00,0,0.00,0,0
,UNAI SIMÓN,ATHLETIC CLUB,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,URKO GONZÁLEZ,REAL SOCIEDAD,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,VALENTIN ROSIER,CD LEGANÉS,3,1,1,8,5,0,0,0,0.00,0.00,0,0.00,0,0
,VALENTÍN BARCO,SEVILLA FC,5,0,0,3,9,0,0,0,0.00,0.00,0,0.00,0,0
,VALENTÍN PEZZOLESI,UD LAS PALMAS,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,VALERY FERNÁNDEZ,RCD MALLORCA,3,3,0,0,4,2,2,0,0.33,0.33,0,0.00,0,0
,VEDAT MURIQI,RCD MALLORCA,25,10,1,3,8,3,3,0,0.04,0.00,0,0.08,0,0
,VICENTE GUAITA,RC CELTA,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0
,VIKTOR TSYHANKOV,GIRONA FC,7,3,1,5,3,1,1,0,0.14,0.00,0,0.00,0,0
,VINÍCIUS JOSÉ PAIXÃO DE OLIVEIRA JÚNIOR,REAL MADRID,26,11,5,38,46,8,7,1,0.08,0.23,2,0.00,0,0
