,NOMBRE,EQUIPO,MJ,PJ,%,PC,%,PT,%,PS,%,TA,TR,SA,G,PR,GPP,GE
,ABDE EZZALZOULI,REAL BETIS,1058,15,100.00,2,13.33,12,80.00,10,66.67,1,0,0,1,1,0,15
,ABDE REBBACH,DEPORTIVO ALAVÉS,360,7,46.67,1,14.29,4,26.67,3,20.00,1,0,0,0,0,0,7
,ABDEL ABQAR,DEPORTIVO ALAVÉS,1131,14,93.33,10,71.43,14,93.33,4,26.67,7,0,0,0,1,0,22
,ABDOULAYE KEITA,GETAFE CF,27,1,6.67,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,ABDUL MUMIN,RAYO VALLECANO,1085,13,92.86,12,92.31,13,92.86,1,7.14,4,1,0,1,0,0,12
,ABDÓN PRATS,RCD MALLORCA,195,12,75.00,0,0.00,1,6.25,1,6.25,3,0,0,2,0,0,3
,ABEL BRETONES,CA OSASUNA,843,14,93.33,7,50.00,9,60.00,2,13.33,2,0,0,2,0,0,17
,ABEL RUIZ,GIRONA FC,708,10,66.67,1,10.00,9,60.00,8,53.33,2,0,0,2,0,0,11
,ABOUBACAR BASSINGA,CD MIRANDÉS,3,1,6.67,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0
,ADAMA BOIRO,ATHLETIC CLUB,423,6,37.50,1,16.67,5,31.25,4,25.00,0,0,0,0,0,0,5
,ADNAN JANUZAJ,UD LAS PALMAS,256,5,33.33,1,20.00,3,20.00,2,13.33,2,0,0,0,0,0,3
,ADRI EMBARBA,RAYO VALLECANO,662,13,92.86,1,7.69,8,57.14,7,50.00,2,0,0,0,0,0,7
,ADRIÀ ALTI,CD LEGANÉS,601,9,60.00,3,33.33,7,46.67,4,26.67,1,0,0,0,0,0,11
,ADRIÀ PEDROSA,SEVILLA FC,1011,13,86.67,7,53.85,12,80.00,5,33.33,4,0,0,0,0,0,12
,ADRIÁN SAN MIGUEL DEL CASTILLO,REAL BETIS,0,0,0.00,0,0.00,0,0.00,0,0.00,2,0,0,0,0,0,0
