EQUIPO,T,DAP,ASI,RE,RF,G,GDDA,GFDA,GCPI,GCPD,GDP,CG,GBP,GPP
ATHLETIC CLUB,141,63,20,140,157,24,22,2,0.04,0.10,1,0.04,0,0
ATLÉTICO DE MADRID,134,69,22,95,109,26,23,3,0.08,0.10,1,0.01,1,0
CA OSASUNA,113,49,10,109,107,20,18,2,0.08,0.04,4,0.04,0,0
CD LEGANÉS,89,38,13,112,96,14,10,4,0.07,0.07,1,0.02,0,0
DEPORTIVO ALAVÉS,119,54,8,71,100,16,12,4,0.05,0.05,2,0.03,0,0
FC BARCELONA,200,111,34,166,154,48,39,9,0.11,0.12,3,0.01,1,0
GETAFE CF,118,46,4,110,144,10,9,1,0.01,0.05,4,0.03,1,0
GIRONA FC,112,58,15,133,126,22,19,3,0.08,0.08,3,0.03,0,0
RC CELTA,130,67,14,101,121,23,18,5,0.05,0.09,2,0.02,1,0
RCD ESPANYOL DE BARCELONA,94,33,11,66,98,15,10,5,0.04,0.09,1,0.02,1,0
RCD MALLORCA,131,59,12,104,104,16,16,0,0.04,0.04,1,0.03,0,0
RAYO VALLECANO,133,50,9,105,93,14,12,2,0.04,0.05,0,0.00,0,0
REAL BETIS,166,71,10,128,123,16,13,3,0.04,0.04,1,0.01,0,0
REAL MADRID,164,92,22,171,158,31,25,6,0.04,0.15,6,0.01,1,0
REAL SOCIEDAD,127,57,9,103,115,13,12,1,0.06,0.02,2,0.01,0,0
REAL VALLADOLID CF,101,35,7,107,87,10,8,2,0.02,0.07,3,0.01,0,0
SEVILLA FC,137,57,9,146,136,14,13,1,0.04,0.04,1,0.00,0,0
UD LAS PALMAS,126,59,14,98,113,20,17,3,0.03,0.09,1,0.02,1,0
VALENCIA CF,85,37,7,69,114,13,11,2,0.07,0.05,2,0.04,0,0
VILLARREAL CF,155,67,19,97,97,27,26,1,0.07,0.05,2,0.04,0,0
