,NOMBRE,EQUIPO,TA,TR,SA,FDJ,FR,FC,PR,PCOM,FPM,FPT
,ABDE EZZALZOULI,REAL BETIS,1,0,0,3,24,14,1,0,1,14.00
,ABDE REBBACH,DEPORTIVO ALAVÉS,1,0,0,2,5,4,0,0,0,4.00
,ABDEL ABQAR,DEPORTIVO ALAVÉS,7,0,0,1,11,30,1,1,1,4.29
,ABDOULAYE KEITA,GETAFE CF,0,0,0,0,0,2,0,0,0,0.00
,ABDUL MUMIN,RAYO VALLECANO,4,1,0,0,6,13,0,0,0,3.25
,ABDÓN PRATS,RCD MALLORCA,3,0,0,1,8,3,0,0,0,1.00
,ABEL BRETONES,CA OSASUNA,2,0,0,0,12,8,0,0,0,4.00
,ABEL RUIZ,GIRONA FC,2,0,0,4,7,6,0,0,0,3.00
,ABOUBACAR BASSINGA,CD MIRANDÉS,0,0,0,0,0,1,0,0,0,0.00
,ADAMA BOIRO,ATHLETIC CLUB,0,0,0,0,4,4,0,0,0,0.00
,ADNAN JANUZAJ,UD LAS PALMAS,2,0,0,0,6,1,0,0,0,0.50
,ADRI EMBARBA,RAYO VALLECANO,2,0,0,6,10,12,0,0,2,6.00
,ADRIÀ ALTI,CD LEGANÉS,1,0,0,2,10,9,0,0,0,9.00
,ADRIÀ PEDROSA,SEVILLA FC,4,0,0,0,9,15,0,0,0,3.75
,ADRIÁN SAN MIGUEL DEL CASTILLO,REAL BETIS,2,0,0,0,0,0,0,0,0,0.00
,ADRIÁN HERNÁNDEZ HERNÁNDEZ,DEPORTIVO ALAVÉS,1,0,0,0,1,5,0,0,0,5.00
,ADRIÁN RODRÍGUEZ,DEPORTIVO ALAVÉS,0,0,0,0,0,0,0,0,0,0.00
,MALCOM ABDULAI ARES DJALÓ,REAL ZARAGOZA,0,0,0,0,0,0,0,0,0,0.00
,AIHEN MUÑOZ,REAL SOCIEDAD,1,0,0,0,4,3,0,0,0,3.00
,AIMAR OROZ,CA OSASUNA,2,0,0,2,23,13,0,0,0,6.50
,ÁLVARO CORTÉS,FC BARCELONA,0,0,0,0,0,0,0,0,0,0.00
,ÁLVARO DJALÓ DIAS FERNANDES,ATHLETIC CLUB,0,0,0,4,6,12,0,0,0,0.00
,ÁLVARO FERNÁNDEZ,SEVILLA FC,0,0,0,0,1,0,0,0,0,0.00
,ÁLVARO GARCÍA,RAYO VALLECANO,3,0,0,6,7,7,0,0,0,2.33
,ÁLVARO KILLANE,UD LAS PALMAS,0,0,0,0,0,0,0,0,0,0.00
,ÁLVARO ODRIOZOLA,REAL SOCIEDAD,1,0,0,0,1,2,0,0,0,2.00
,ÁLVARO RODRÍGUEZ,GETAFE CF,2,0,0,4,8,16,0,0,0,8.00
,ÁLVARO TEJERO,RCD ESPANYOL DE BARCELONA,0,0,0,1,9,7,0,0,0,0.00
,ÁNGEL CORREA,ATLÉTICO DE MADRID,2,0,0,2,7,8,0,0,0,4.00
,ÁNGEL FORTUÑO,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0,0.00
