,NOMBRE,EQUIPO,C L,ENT,DUE,D,DA,PC,PCC,PLC,PH,GPT,GPTFA,GPTDA,GCPI,GCPD,CG,GABP
,ABDE EZZALZOULI,REAL BETIS,1,19,179,145,34,384,282,3,2,0.03,0.00,0.03,0.00,0.03,0.00,0.00
,ABDE REBBACH,DEPORTIVO ALAVÉS,7,3,42,32,10,92,59,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ABDEL ABQAR,DEPORTIVO ALAVÉS,0,19,98,68,30,406,256,39,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ABDOULAYE KEITA,GETAFE CF,0,0,4,2,2,6,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ABDUL MUMIN,RAYO VALLECANO,0,12,76,42,34,562,428,28,0,0.25,0.00,0.25,0.25,0.00,0.00,0.00
,ABDÓN PRATS,RCD MALLORCA,0,1,46,19,27,41,26,2,0,0.25,0.00,0.25,0.13,0.00,0.13,0.00
,ABEL BRETONES,CA OSASUNA,0,22,85,69,16,269,171,17,0,0.50,0.25,0.25,0.50,0.00,0.00,0.00
,ABEL RUIZ,GIRONA FC,0,2,58,40,18,149,130,5,0,0.20,0.00,0.20,0.00,0.20,0.00,0.00
,ABOUBACAR BASSINGA,CD MIRANDÉS,0,0,2,2,0,4,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ADAMA BOIRO,ATHLETIC CLUB,0,8,39,30,9,126,107,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ADNAN JANUZAJ,UD LAS PALMAS,13,3,34,28,6,110,84,5,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ADRI EMBARBA,RAYO VALLECANO,27,14,89,70,19,195,135,9,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ADRIÀ ALTI,CD LEGANÉS,0,15,72,54,18,176,135,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ADRIÀ PEDROSA,SEVILLA FC,2,31,120,94,26,416,312,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ADRIÁN SAN MIGUEL DEL CASTILLO,REAL BETIS,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ADRIÁN HERNÁNDEZ HERNÁNDEZ,DEPORTIVO ALAVÉS,0,7,40,18,22,171,122,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ADRIÁN RODRÍGUEZ,DEPORTIVO ALAVÉS,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,MALCOM ABDULAI ARES DJALÓ,REAL ZARAGOZA,0,0,4,4,0,8,5,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,AIHEN MUÑOZ,REAL SOCIEDAD,0,4,37,22,15,123,94,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,AIMAR OROZ,CA OSASUNA,1,17,125,108,17,408,320,19,4,0.08,0.00,0.08,0.08,0.00,0.00,0.00
,ÁLVARO CORTÉS,FC BARCELONA,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ÁLVARO DJALÓ DIAS FERNANDES,ATHLETIC CLUB,0,5,68,49,19,68,45,3,0,0.11,0.00,0.11,0.00,0.00,0.11,0.00
,ÁLVARO FERNÁNDEZ,SEVILLA FC,0,0,2,1,1,153,69,26,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ÁLVARO GARCÍA,RAYO VALLECANO,0,19,65,55,10,252,169,7,0,0.07,0.00,0.07,0.00,0.07,0.00,0.00
,ÁLVARO KILLANE,UD LAS PALMAS,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ÁLVARO ODRIOZOLA,REAL SOCIEDAD,0,1,6,5,1,24,17,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ÁLVARO RODRÍGUEZ,GETAFE CF,0,3,95,41,54,65,33,0,0,0.17,0.00,0.17,0.17,0.00,0.00,0.00
,ÁLVARO TEJERO,RCD ESPANYOL DE BARCELONA,30,6,55,45,10,215,158,15,1,0.14,0.14,0.00,0.00,0.14,0.00,0.14
,ÁNGEL CORREA,ATLÉTICO DE MADRID,3,3,52,47,5,133,97,2,0,0.20,0.00,0.20,0.00,0.20,0.00,0.00
,ÁNGEL FORTUÑO,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ÁRON YAAKOBISHVILI,FC BARCELONA,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ÉDER GABRIEL MILITÃO,REAL MADRID,0,19,94,61,33,706,586,48,0,0.14,0.00,0.14,0.00,0.14,0.00,0.00
,ÍÑIGO LEKUE,ATHLETIC CLUB,0,6,19,17,2,179,134,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ÍÑIGO RUÍZ DE GALARRETA,ATHLETIC CLUB,4,16,65,63,2,373,299,23,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ÓSCAR DE MARCOS,ATHLETIC CLUB,0,19,64,52,12,394,285,22,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ÓSCAR MINGUEZA,RC CELTA,5,17,92,83,9,689,518,38,1,0.20,0.10,0.10,0.00,0.20,0.00,0.10
,ÓSCAR RODRÍGUEZ,CD LEGANÉS,6,11,66,50,16,166,118,5,1,0.13,0.00,0.13,0.00,0.00,0.13,0.00
,ÓSCAR TREJO,RAYO VALLECANO,0,3,34,29,5,91,73,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ÓSCAR VALENTÍN,RAYO VALLECANO,0,27,130,93,37,407,310,18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ØRJAN NYLAND,SEVILLA FC,0,1,3,1,2,354,153,52,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,WILLY KAMBWALA,VILLARREAL CF,0,4,10,4,6,41,25,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,WOJCIECH SZCZESNY,FC BARCELONA,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,YANGEL HERRERA,GIRONA FC,0,28,144,119,25,437,361,14,1,0.15,0.00,0.15,0.00,0.00,0.15,0.00
,YAREK GASIOROWSKI,VALENCIA CF,0,16,39,20,19,237,177,14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,JESÚS SANTIAGO PÉREZ,GETAFE CF,0,7,28,26,2,70,49,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,YERAY ÁLVAREZ,ATHLETIC CLUB,0,10,69,35,34,519,390,36,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,YEREMY PINO,VILLARREAL CF,1,13,68,59,9,188,142,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,YOUSSOUF SABALY,REAL BETIS,0,17,60,54,6,328,274,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,YURI BERCHICHE,ATHLETIC CLUB,0,14,68,48,20,479,373,26,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,YVAN NEYOU,CD LEGANÉS,0,21,103,89,14,393,317,19,0,0.25,0.00,0.25,0.00,0.25,0.00,0.00
,YÁSER ASPRILLA,GIRONA FC,6,8,57,55,2,205,155,9,3,0.20,0.20,0.00,0.20,0.00,0.00,0.00
,ÁLEX BAENA,VILLARREAL CF,50,7,98,80,18,408,278,27,11,0.18,0.00,0.18,0.12,0.06,0.00,0.00
,ÁLEX GIL,,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ÁLEX MUÑOZ,UD LAS PALMAS,0,28,101,67,34,472,385,11,0,0.43,0.00,0.43,0.14,0.14,0.14,0.00
,ÁLEX REMIRO,REAL SOCIEDAD,0,0,3,1,2,464,262,89,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ÁLEX SOLA,GETAFE CF,0,17,183,139,44,190,125,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ÁLEX SUÁREZ,UD LAS PALMAS,0,17,68,34,34,562,455,21,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ÁLEX VALLE,,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ÁLVARO ACEVES,REAL VALLADOLID CF,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ÁLVARO AGUADO,RCD ESPANYOL DE BARCELONA,2,4,26,23,3,153,112,8,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,UNAI MARRERO,REAL SOCIEDAD,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,UNAI NÚÑEZ,ATHLETIC CLUB,0,2,16,9,7,145,117,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,UNAI SIMÓN,ATHLETIC CLUB,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,URKO GONZÁLEZ,REAL SOCIEDAD,0,0,5,3,2,16,9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,VALENTIN ROSIER,CD LEGANÉS,0,36,120,103,17,321,227,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,VALENTÍN BARCO,SEVILLA FC,9,15,46,43,3,135,100,7,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,VALENTÍN PEZZOLESI,UD LAS PALMAS,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,VALERY FERNÁNDEZ,RCD MALLORCA,0,7,23,19,4,53,45,1,0,0.67,0.00,0.67,0.33,0.33,0.00,0.00
,VEDAT MURIQI,RCD MALLORCA,0,1,168,52,116,213,125,6,2,0.12,0.00,0.12,0.04,0.00,0.08,0.00
,VICENTE GUAITA,RC CELTA,0,0,9,3,6,232,142,37,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,VIKTOR TSYHANKOV,GIRONA FC,23,4,41,32,9,214,172,3,1,0.14,0.00,0.14,0.14,0.00,0.00,0.00
,VINÍCIUS JOSÉ PAIXÃO DE OLIVEIRA JÚNIOR,REAL MADRID,3,11,187,182,5,388,291,15,6,0.31,0.04,0.27,0.08,0.23,0.00,0.00
,VITI ROZADA,UD LAS PALMAS,0,32,90,73,17,314,249,18,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,VITOR HUGO ROQUE FERREIRA,REAL BETIS,0,3,96,76,20,112,77,2,0,0.14,0.00,0.14,0.00,0.14,0.00,0.00
,VÍCTOR MESEGUER,REAL VALLADOLID CF,0,10,49,34,15,170,128,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,VÍCTOR PUIG,UD LAS PALMAS,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,WALID CHEDDIRA,RCD ESPANYOL DE BARCELONA,0,3,81,54,27,55,36,0,0,0.20,0.00,0.20,0.20,0.00,0.00,0.00
,WARREN MADRIGAL,VALENCIA CF,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,WILLIAM SILVA DE CARVALHO,REAL BETIS,0,3,24,19,5,182,140,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,WILLIOT SWEDBERG,RC CELTA,0,6,55,45,10,143,101,3,2,0.15,0.08,0.08,0.00,0.15,0.00,0.00
,SÉBASTIEN HALLER,CD LEGANÉS,0,2,63,20,43,90,53,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,TADEO ALLENDE,RC CELTA,0,0,1,1,0,3,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,TAKEFUSA KUBO,REAL SOCIEDAD,10,19,163,151,12,354,255,14,3,0.23,0.00,0.23,0.23,0.00,0.00,0.00
,TAKUMA ASANO,RCD MALLORCA,0,5,27,21,6,62,43,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,TANGUY NIANZOU,SEVILLA FC,0,7,45,24,21,314,279,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,TASOS DOUVIKAS,RC CELTA,0,8,94,65,29,94,67,1,0,0.21,0.00,0.21,0.00,0.14,0.07,0.00
,THIBAUT COURTOIS,REAL MADRID,0,0,7,1,6,391,286,38,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,THIERNO BARRY,VILLARREAL CF,0,4,132,72,60,131,69,3,1,0.14,0.00,0.14,0.03,0.00,0.10,0.00
,THIERRY RENDALL CORREIA,VALENCIA CF,0,27,98,86,12,338,235,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
