EQUIPO,C L,ENT,DUE,D,DA,PC,PCC,PLC,PH,GPT,GPTFA,GPTDA,GCPI,GCPD,CG,GABP
ATHLETIC CLUB,82,0,1586,1173,413,6613,4954,396,0,0.17,0.01,0.16,0.04,0.10,0.04,0.00
ATLÉTICO DE MADRID,74,0,1316,949,367,7813,6213,370,0,0.19,0.02,0.17,0.08,0.10,0.01,0.01
CA OSASUNA,60,0,1507,1050,457,4905,3271,350,0,0.18,0.02,0.16,0.08,0.04,0.04,0.00
CD LEGANÉS,47,0,1674,1174,500,5945,4151,362,0,0.14,0.04,0.10,0.06,0.06,0.02,0.00
DEPORTIVO ALAVÉS,72,0,1583,1084,499,4655,2984,376,0,0.13,0.03,0.10,0.05,0.05,0.03,0.00
FC BARCELONA,96,0,1499,1198,301,9983,8342,413,0,0.24,0.04,0.20,0.11,0.12,0.01,0.00
GETAFE CF,64,0,1879,1211,668,4396,2724,358,0,0.08,0.01,0.08,0.01,0.05,0.03,0.01
GIRONA FC,78,0,1369,1113,256,8784,7405,373,0,0.18,0.02,0.16,0.07,0.07,0.02,0.00
RC CELTA,54,0,1416,1076,340,8524,6944,346,0,0.18,0.04,0.14,0.06,0.09,0.02,0.01
RCD ESPANYOL DE BARCELONA,59,0,1289,957,332,4461,3150,294,0,0.16,0.05,0.11,0.04,0.09,0.02,0.01
RCD MALLORCA,75,0,1701,1125,576,6515,4745,473,0,0.12,0.00,0.12,0.04,0.04,0.03,0.00
RAYO VALLECANO,79,0,1507,1091,416,5746,4130,335,0,0.11,0.01,0.09,0.04,0.05,0.01,0.00
REAL BETIS,76,0,1616,1224,392,7328,5695,360,0,0.10,0.02,0.08,0.04,0.04,0.01,0.00
REAL MADRID,88,0,1381,1142,239,9689,8227,449,0,0.20,0.03,0.16,0.04,0.15,0.01,0.01
REAL SOCIEDAD,95,0,1665,1167,498,7275,5618,390,0,0.12,0.01,0.11,0.08,0.02,0.01,0.00
REAL VALLADOLID CF,62,0,1628,1096,532,5577,4046,389,0,0.10,0.02,0.08,0.02,0.07,0.01,0.00
SEVILLA FC,82,0,1528,1100,428,6827,5284,282,0,0.10,0.01,0.09,0.04,0.04,0.00,0.00
UD LAS PALMAS,64,0,1528,1095,433,7582,5927,339,0,0.16,0.02,0.14,0.04,0.09,0.02,0.01
VALENCIA CF,81,0,1346,961,385,5508,3981,320,0,0.13,0.02,0.11,0.06,0.04,0.03,0.00
VILLARREAL CF,63,0,1268,936,332,5955,4658,339,0,0.17,0.01,0.17,0.07,0.05,0.04,0.00
